INTERVAL,DATE,TIME,RECOMMENDATION,BUY,SELL,NEUTRAL
1m,2024-07-02,02:36:41,STRONG_SELL,0,15,11
5m,2024-07-02,02:36:41,STRONG_SELL,1,16,9
15m,2024-07-02,02:36:41,SELL,2,14,10
30m,2024-07-02,02:36:41,SELL,4,12,10
1h,2024-07-02,02:36:41,SELL,7,10,9
2h,2024-07-02,02:36:41,NEUTRAL,10,7,9
4h,2024-07-02,02:36:41,BUY,11,5,10
1d,2024-07-02,02:36:41,SELL,4,12,9
1W,2024-07-02,02:36:41,SELL,2,13,10
1M,2024-07-02,02:36:41,SELL,4,12,9
